open time,O,H,L,C,volume,close time,quote,trades count,base volume,quote volume,unused
2017-11-03 09:00:00,7010.31000000,7346.34000000,6923.00000000,7115.04000000,1891.49759200,2017-11-04 08:59:59.999,13614451.74654126,15375,790.18634400,5689002.21482195,0
2017-11-04 09:00:00,7115.02000000,7480.99000000,6901.00000000,7357.09000000,1399.19176700,2017-11-05 08:59:59.999,10064538.39659038,13395,638.38726800,4597312.95311455,0
2017-11-05 09:00:00,7357.27000000,7590.25000000,7279.02000000,7345.01000000,1207.83233000,2017-11-06 08:59:59.999,9000403.86573288,11090,540.67519500,4027338.87761942,0
2017-11-06 09:00:00,7345.10000000,7401.00000000,6906.00000000,6960.12000000,1763.01926100,2017-11-07 08:59:59.999,12673524.62163980,13525,730.00378700,5258426.96569148,0
2017-11-07 09:00:00,6981.72000000,7198.49000000,6901.00000000,7064.04000000,1440.25949400,2017-11-08 08:59:59.999,10173272.33780804,13132,591.18799200,4181187.39303234,0
2017-11-08 09:00:00,7070.00000000,7770.02000000,6651.00000000,7303.00000000,2822.29880200,2017-11-09 08:59:59.999,20491286.19840822,24381,1291.34447200,9394534.42380506,0
2017-11-09 09:00:00,7303.01000000,7392.00000000,7015.00000000,7079.99000000,1913.39830800,2017-11-10 08:59:59.999,13798534.34721742,13818,724.15487800,5221300.62862515,0
2017-11-10 09:00:00,7079.00000000,7279.91000000,6255.01000000,6506.98000000,3254.70410500,2017-11-11 08:59:59.999,22083345.18396158,18889,1565.26143900,10594456.21115611,0
2017-11-11 09:00:00,6503.00000000,6797.98000000,6100.00000000,6245.05000000,2754.15686100,2017-11-12 08:59:59.999,17681445.46474999,17840,1127.47614800,7260382.61767693,0
2017-11-12 09:00:00,6245.05000000,6630.00000000,5325.01000000,5811.03000000,4968.48306900,2017-11-13 08:59:59.999,29711508.60084671,31069,2267.41074400,13607604.41635319,0
2017-11-13 09:00:00,5839.94000000,6697.47000000,5699.99000000,6465.99000000,2621.24303900,2017-11-14 08:59:59.999,16498136.09913936,16165,1299.99691900,8190123.54546063,0
2017-11-14 09:00:00,6465.99000000,6684.98000000,6311.07000000,6574.99000000,1254.29253100,2017-11-15 08:59:59.999,8168729.97122799,10476,612.13620200,3991112.73071270,0
2017-11-15 09:00:00,6575.99000000,7298.00000000,6575.99000000,7240.06000000,1779.60584500,2017-11-16 08:59:59.999,12446186.45092821,10313,958.59199000,6705958.03258740,0
2017-11-16 09:00:00,7240.14000000,7940.00000000,7076.00000000,7864.50000000,2331.95675000,2017-11-17 08:59:59.999,17499577.25815967,14961,1196.41071700,8973214.57023640,0
2017-11-17 09:00:00,7876.98000000,7989.00000000,7451.00000000,7699.19000000,3982.39592500,2017-11-18 08:59:59.999,31024092.61951179,22012,1910.20823700,14893068.96849563,0
2017-11-18 09:00:00,7680.01000000,7819.99000000,7422.00000000,7761.94000000,3954.26647700,2017-11-19 08:59:59.999,30334498.31525712,18383,1891.34032400,14512569.88845333,0
2017-11-19 09:00:00,7761.94000000,8123.15000000,7650.33000000,8038.00000000,3867.34044400,2017-11-20 08:59:59.999,30322635.76894570,14897,2097.61334600,16448877.84771707,0
2017-11-20 09:00:00,8057.11000000,8319.99000000,7954.00000000,8212.00000000,3886.63434800,2017-11-21 08:59:59.999,31567135.38731295,20101,1816.36633900,14741452.72913412,0
2017-11-21 09:00:00,8212.49000000,8400.00000000,7801.00000000,8119.51000000,4544.47401600,2017-11-22 08:59:59.999,37074997.58090905,20798,2222.29121500,18131894.11366924,0
2017-11-22 09:00:00,8091.09000000,8322.68000000,8091.09000000,8205.92000000,3545.00571000,2017-11-23 08:59:59.999,29124078.47217724,14752,1823.86037400,14992767.17647145,0
2017-11-23 09:00:00,8233.03000000,8260.00000000,8000.00000000,8019.99000000,4093.95268700,2017-11-24 08:59:59.999,33400702.99957629,16625,2163.75513100,17665030.24869222,0
2017-11-24 09:00:00,8019.97000000,8369.00000000,7850.00000000,8138.00000000,4411.78911200,2017-11-25 08:59:59.999,35840264.45804051,19754,2166.42527500,17613353.73937526,0
